epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.86,1.22109,0.70161,0.93548,0.95959,0.000166272,0.000166272,0.0669119
2,79.6667,0.43998,0.8871,0.99395,0.36228,0.000332613,0.000332613,0.0337449
3,115.942,0.2827,0.87903,0.99798,0.33064,0.000497655,0.000497655,0.000576644
4,148.09,0.26242,0.91935,0.99395,0.24479,0.000495616,0.000495616,0.000495616
5,172.537,0.19281,0.94355,0.99798,0.17835,0.000492224,0.000492224,0.000492224
6,199.665,0.16795,0.94556,0.99798,0.18715,0.000487886,0.000487886,0.000487886
7,245.647,0.14496,0.94758,0.99597,0.16525,0.00048262,0.00048262,0.00048262
8,273.301,0.12447,0.95363,1,0.11895,0.000476445,0.000476445,0.000476445
9,310.104,0.12771,0.95363,1,0.13647,0.000469386,0.000469386,0.000469386
10,338.948,0.10485,0.96976,1,0.14467,0.000461471,0.000461471,0.000461471
11,368.007,0.09413,0.94556,1,0.14957,0.000452732,0.000452732,0.000452732
12,394.54,0.08418,0.95565,1,0.14005,0.000443202,0.000443202,0.000443202
13,438.451,0.08895,0.96774,1,0.11092,0.00043292,0.00043292,0.00043292
14,477.471,0.08041,0.95161,1,0.16005,0.000421925,0.000421925,0.000421925
15,502.008,0.0651,0.95161,1,0.15751,0.000410262,0.000410262,0.000410262
16,526.536,0.07404,0.95363,1,0.12987,0.000397977,0.000397977,0.000397977
17,551.102,0.05654,0.95766,1,0.10118,0.000385117,0.000385117,0.000385117
18,588.674,0.05782,0.96169,1,0.10196,0.000371734,0.000371734,0.000371734
19,630.259,0.06207,0.96371,1,0.11069,0.00035788,0.00035788,0.00035788
20,664.425,0.05519,0.97379,1,0.08501,0.000343611,0.000343611,0.000343611
21,700.55,0.05513,0.95968,0.99798,0.12976,0.000328982,0.000328982,0.000328982
22,739.631,0.05212,0.97984,1,0.06645,0.000314051,0.000314051,0.000314051
23,763.834,0.04044,0.97379,1,0.06864,0.000298877,0.000298877,0.000298877
24,787.889,0.03725,0.96774,1,0.10535,0.00028352,0.00028352,0.00028352
25,812.093,0.03399,0.97782,1,0.07335,0.000268041,0.000268041,0.000268041
26,844.408,0.02293,0.97581,1,0.10308,0.0002525,0.0002525,0.0002525
27,868.958,0.02794,0.97984,1,0.05331,0.000236959,0.000236959,0.000236959
28,893.169,0.03096,0.97782,1,0.05593,0.00022148,0.00022148,0.00022148
29,917.075,0.02664,0.97782,1,0.0569,0.000206123,0.000206123,0.000206123
30,940.975,0.02081,0.97379,1,0.0796,0.000190949,0.000190949,0.000190949
31,964.744,0.02189,0.98185,1,0.07087,0.000176018,0.000176018,0.000176018
32,988.58,0.02399,0.95766,1,0.11852,0.000161389,0.000161389,0.000161389
33,1012.58,0.0176,0.97782,1,0.06095,0.00014712,0.00014712,0.00014712
34,1036.2,0.01809,0.97782,1,0.06311,0.000133266,0.000133266,0.000133266
35,1059.75,0.01612,0.96774,1,0.06362,0.000119883,0.000119883,0.000119883
36,1083.56,0.01189,0.97177,1,0.07774,0.000107023,0.000107023,0.000107023
37,1107.59,0.01538,0.97379,1,0.08114,9.47376e-05,9.47376e-05,9.47376e-05
38,1131.58,0.01064,0.97581,1,0.05308,8.30746e-05,8.30746e-05,8.30746e-05
39,1155.36,0.01105,0.97782,1,0.05904,7.20803e-05,7.20803e-05,7.20803e-05
40,1178.9,0.01452,0.97984,1,0.04273,6.1798e-05,6.1798e-05,6.1798e-05
41,1248.84,0.01177,0.97581,1,0.04449,5.22683e-05,5.22683e-05,5.22683e-05
